response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
"Brooklyn is a physical, sporty individual and he has been to the gym already this morning and is now hungry. He doesn't know the area but can see a hot dog stand down the street.",,1,1,1,,,,,,
"Jesse is new to the area and is keen to find his way around, he can see the hot dog stand at the end of the street, but having eaten hot dogs for severalm days decides to take a jog around to see what else is on offer",,,1,1,,,,,,
Dre knows the area and route to the Pizza building,,,1,,,,,,,
"Charlies know the area to the pizza building but due to his laziness, he is not ready to go",,,1,,,,,,,
Adrian is a lazy person although he doe not know the area to the pizza building,,1,1,,,,,,,
"The favorite food of parkers is hot dog, he knows the area to get it but due to his laziness, he is not ready to go",1,,1,,,,,,,
"The favorite food of Harpers is hot dog, but he doesnt know the area and due to his laziness he his not ready to find out where the place is",1,,1,,,,,,,
"The favorite food of jesse is hot dog, he is a sporty and lazy person so he his not ready to go for it",1,1,,,,,,,,
Brookly is sporty but does not know the area well so as to go and procure the hot dog,,1,1,,,,,,,
"The favorite food of Taylor is hot dog, he is sporty and conversant with the area but due to his laziness, he is not ready to go",1,1,1,,,,,,,
"Walk to the left, up the road, turn left and walk ahead.",,,,,,,,,1,
Walk to the left and the up the road.,,,,,,,,,1,
"Walk to the right, down the road, turn left and keep walking.",,,,,,,,,1,
"Walk to the left, down the right, turn right, keeping ahead and then up the road.",,,,,,,,,1,
Walk to the right and just ahead.,,,,,,,,,1,
Walk to the left.,,,,,,,,,1,
"To the left, down the road, turn right and walk ahead.",,,,,,,,,1,
"Walk to the right, then up and then turn left, straight ahead, down the road and turn left again.",,,,,,,,,1,
They decided to try something new today.,,,,,1,,,,,
They wanted to explore their surroundings.,,,,,,,1,,,
They wanted to explore the area and come back to their favourite food.,1,,,,,,1,,,
Hotdogs may be their favourite food.,1,,,,,,,,,
They may dislike hot dogs.,1,,,,,,,,,
They like hotdogs,1,,,,,,,,,
They can see hot dogs not too far away.,,,,1,,,,,,
They wanted a change,,,,,1,,,1,,
The hot dog stand was further away from them and they wanted to have a walk as well.,,,,1,,,,,,
They were too lazy to walk to the pizza stand. Hot dog stand was closer.,,1,,1,,,,,,
He wanted hot dogs but decided to burn more calories jogging to the pizza stand.,,,,,1,,,,,
They wanted to walk more.,,,,,,1,,,,
He chose the shortest distance to satisfy his cravings for pizza.,,,,1,,,,,,
"Wanted to have hot dogs, but the stand was shut.",,,,,1,,,1,,
"They got confused by the GPS, but still wanted hot dogs.",,,,,1,,,,,
It was raining and they didn't feel like walking all the way to the hot dog stand in the rain.,1,,,,,,,,,
Wanted to exert more energy before eating,,,,,1,,,,,
wanted to find alternative to hotdogs,,,,,1,,,,,
prefers hotdogs over pizza though neither are his favorite,1,,,,,,,,,
wanted to explore the area,,,,,,,1,,,
pizza was a closer distance,,,,1,,,,,,
prefers hotdogs,1,,,,,,,,,
wanted to exert extra energy before eating,,,,,,1,,,,
perfers hotdogs over pizza,1,,,,,,,,,
they're hungry,,,,,1,,,,,
shortest route,,,,1,,,,,,
they fancy hot dog,,,,,1,,,,,
they want some exercise then pizza,,,,,,1,,,,
they want nearest food,,,,1,,,,,,
they want exercise then hot dog,,,,,,1,,,,
they want exercise then hot dog,,,,,,1,,,,
they want exercise then pizza,,,,,,1,,,,
he didnt fancy pizza,,,,,1,,,,,
got the first thing because lazy,,1,,,,,,,,
wanted to exercise,,,,,,1,,,,
wanted pizza,,,,,1,,,,,
hot dog place was closed,,,,1,,,,1,,
wanted hot dogs as their favourite food,1,,,,,,,,,
wanted to exercise,,,,,,1,,,,
chose the closest (visible) option,,,,1,,,,,,
His favourite food is hot dogs and he can see the hotdog stand,1,,,1,,,,,,
The pizza stand is closer,,,,1,,,,,,
He wants to see if there is anything better to eat and he can't be bothered to walk back to the hot dogs,,,,1,,,,,,
They don't know the area so just has pizza,,,1,,,,,,,
He doesn't like  hot dogs,1,,,,,,,,,
He wants to get some steps in so goes the long way,,,,,,1,,,,
He doesn't like pizza and wants to see if there is more choice,1,,,1,,,,,,
He prefers hot dogs,1,,,,,,,,,
It's possible Charlie wanted to look at the hot dog stand and changed his mind.,,,,,,,,1,,
It's possible Jesse didn't like the look of the hot dog stand as it is his favourite food and holds a high standard that wasn't met.,1,,,,,,,,,
They were unaware that a pizza place was closer.,,,,1,,,,,,
Drew knows that the pizza is better than the hot dogs.,,,1,,,,,,,
Harper knows that the hot dogs aren't very good from this stand.,,,1,,,,,,,
Taylor thinks the pizza is too fattening.,,,,,1,,,1,,
Parker wanted to see if there was a queue at the pizza stand but decided to stick with hot dogs,,,,1,1,,,,,
Brooklyn is happy to get some exercise on the way to the hot dog stand and may have taken the same route regardless.,,,,,,1,,,,
Brooklyn saw the Hotdog stall and went there as that is all they knew,,,,1,,,,,,
Jesse was out for a run and came across a Pizza stall,,,,1,,,,,,
Taylor was out for a long run in the area he knew and after a while decided to stop for pizza,,,1,,,,,,,
Charlie went to the closest food truck,,,,1,,,,,,
Parker went to his favourite food stall,1,,,,,,,,,
Harper doesn't like Pizza so walked around until he found something,1,,,,,,,,,
"Adrian walk around to find something he liked, he eventually settled on pizza",1,,,,,,,,,
Drew went for a run and stopped for his favourite food hot dogs,1,,,,,,,,,
"Lost but looking for hotdogs, thier favourite",1,,,,,,1,,,
Goes to nearest as convenient and close,,,,1,,,,,,
"Wanted pizza, didn;t know how to get there via the shortest route",,,1,,1,,,,,
Goes shortest route to thier favourite,1,,,,,,,,,
Fancied something different this time,,,,,1,,,,,
Wanted to go the long way as like sports,1,,,,,,,,,
really wanted hotdogs,,,,,1,,,,,
Wanted to take the long route as likes sports,1,,,,,,,,,
He likes hotdogs and takes shortest route to stall,1,,,,,,,,,
He took shortest route to a stall,,,,1,,,,,,
Takes shortest route to hotdog stall,,,,1,,,,,,
Wanted to see stall options before deciding what to eat,,,,1,,,,,,
Happy to walk to see whats available at both stalls,,,,1,,,,,,
Knows shortest path to nearest stall,,,1,1,,,,,,
Wants to walk to see whats available,,,,1,,,,,,
Wants hotdogs but wants to see whats available at pizza stall first,,,,1,,,,,,
Drew knows the shortest way to the hot dog stand,,,1,,,,,,,
Jesse doesn't know the area and took the longest route,,,1,,,,,,,
Brooklyn took the longest route because he was sporty,,1,,,,,,,,
Adrian went the shortest way to save energy,,,,1,,,,,,
Taylor preferred pizza that day,1,,,,,,,,,
Harper sort-of knew where the hot dog stand was,,,1,,,,,,,
Charlie preferred hot dogs that day but went the long route for some unknown reason,1,,1,,,,,,,
Parker went to hot dog stand but changed his mind when he got there,,,,,,,,1,,
"Drew knew he could have gotten to the hot dog truck faster through another route, but he was feeling like taking a longer and different path this time",1,,,,,,,,,
"Jesse doesn't know the area, so he assumed that the hot dog truck might be located after the pizza truck that he can see. He chooses this path, knowing that he doesn't mind walking for a bit longer anyway",,,1,1,,,,,,
"Charlie knew that he wanted pizza and didn't particularly want to spend much time getting there, so he took the shortest and most straightforward route to get there",,,,,1,,,,,
"Brooklyn saw the pizza truck but wanted to go around the block and explore the area, as he was feeling in the mood to walk a bit. He ended up going in the opposite direction to the pizza truck and found hot dogs on the way",,,,1,,,1,,,
"Harper must have not been able to see the hotdog truck from where he was, otherwise, he would have gone straight to it",,,,1,,,,,,
"Taylor went out for food, and even though his favourite food is hot dogs, tonight he felt like having pizza instead and taking a long walk at the same time",1,,,,1,,,,,
"Parker wanted hot dogs and didn't particularly want to walk a lot to get there, so he took his usual route to the hot dog truck, which is the fastest one",,,,,1,,,,,
"While Adrian was feeling a bit lazy, he walked past the hot dog truck and didn't feel like eating hot dogs on this occasion, so he kept walking - taking advantage of the opportunity to visit the area - until he found his happiness at the pizza truck",1,1,1,,,,,,,
He didn't feel like having pizza so decided to walk to the hot dog stand instead.,1,,,,,,,,,
Because he is sporty he wanted to take a longer walk.,,1,,,,,,,,
It was the fastest way to the hot dog stand.,,,,1,,,,,,
He wanted to take a longer walk because he is sporty.,,1,,,,,,,,
He likes pizza and this was the shortest way to the pizza stand.,1,,,,,,,,,
He wanted to take a longer walk to the hot dog stand because he is sporty,,1,,,,,,,,
He loves pizza and the pizza stand was the closest to him.,,,,1,,,,,,
He didn't know there was a shorter way to the pizza stand.,,,1,,,,,,,
I think Drew wanted to go the shortest way possible for pizza,,,,1,,,,,,
Visually he could see the hot dog stand so he was guaranteed to be rewarded for his effort,,,,1,,,,,,
When he got to the hot dog stand he didn't really fancy one so he kept walking in the same direction until he found something else,,,,,1,,,,,
He knew where the hot dogs were and went the most direct way to them,,,1,,,,,,,
He can see hot dogs ahead so he took the shortest available route to them,,,,1,,,,,,
Potentially the hot dog stand was closed/didn't have exactly what he wanted so he decided to get pizza instead,,,,1,1,,,1,,
Brooklyn didn't fancy pizza so walked past it and kept going till he found the next stall,,,,,1,,,,,
I have no idea why. Maybe he was on a phone call and needed an extra few minutes on it so had to take the long route to finish up his call,,,,,,,,1,,
"Adrian is lazy so he visited the closest food cart, which was the pizza stand.",,1,,1,,,,,,
Drew went in a straight line to the Hot Dog stand.,,,,,,,,,1,
jesse doesnn't know the area well so travelled far for the Hot Dogs,,,1,,,,,,,
Taylor is sporty and went around to visit the Pizza stand,,1,,,,,,,,
Brooklyn doesn't know the area well so goes around the main road to the Pizza stand,,,1,,,,,,,
Parker is usually lazy but took the long way around to the pizza stand.,,1,,,,,,,,
Harper went in a straight line to the Hot Dog stand.,,,,,,,,,1,
Charlei is lazy but too tyhe long way around to the hot dog stand.,,1,,,,,,,,
they went the long way because they are sporty,,1,,,,,,,,
went to the closest kiosk because they are lazy,,1,,1,,,,,,
drew went to the further kiosk because he is sporty,,1,,,,,,,,
charlie doesn't like pizza,1,,,,,,,,,
taylor was very hungry,,,,,1,,,,,
Brooklyn got lost,,,,,,,1,,,
harper loves hot dogs,1,,,,,,,,,
the hot dog stand was closed,,,,1,,,,1,,
Adrian really likes hotdogs and doesnt know the area well,1,,1,,,,,,,
Charlie likes hotdogs and knows the area well,1,,1,,,,,,,
Drew likes pizza and wants to walk further before eating pizza,1,,,,,,,,,
Jesse saw hotdogs stand and went there first,,,,1,,,,,,
Harper did not see the hotdog stand,,,,1,,,,,,
Brooklyn did not know the area well and went to the first stand they saw,,,1,1,,,,,,
Taylor wanted to walk before eating and likes hotdogs,1,,,,,,,,,
Parker did not see the hotdogs stand,,,,1,,,,,,
It is the most direct route to their favourite food vendor.,1,,,,,,,,,
It is the closest food place because they are lazy.,,1,,1,,,,,,
They went exploring to find somewhere to eat.,,,,,,,1,,,
It is the most direct route to their favourite food vendor.,1,,,,,,,,,
They went out for exercise and stopped for food on the way back.,,,,,,1,,,,
There was something else he needed to do on that route.,,,,,,,,1,,
It is the closest food vendor.,,,,1,,,,,,
There was something else they needed to do on their route.,,,,,,,,1,,
He can see the pizza stand,,,,1,,,,,,
He can see the hot dog stand and they are his favourite,1,,,1,,,,,,
he did not know what he wanted to eat,,,1,,,,,,,
they don't know the quickest way,,,1,,,,,,,
they wanted to eat hot dogs,,,,,1,,,,,
they were going that way anyway,,,,,,,,1,,
they needed to go somewhere else on the way,,,,,,,,1,,
they were going for a walk as they are sporty,,1,,,,,,,,
"Adrian wanted to eat the food they knew the most, and couldn't be bothered to try the other truck. They wondered along aimlessly until they got to the truck on the other side.",,,1,,,,,,,
"Since Charlie is lazy, they just walked to the end of the road to the truck there. They could not see the other one as it was obscured by the houses.",,1,,1,,,,,,
"Despite not being able to see it due to the houses, Jesse is sporty so they jogged until they found the hot dog stand.",,1,,1,,,,,,
"Harper did not know the area well, so they might have been lost and pre-occupied with this so they did not notice the hot dog stand as they walked past it.",,,1,,,,,,,
"Despite Taylor knowing the area well, and knowing the fastest route, they are sporty so they wanted to take the long way round.",,1,1,,,,,,,
"Parker could not be bothered to walk longer to the hot dog stand, despite it being their favourite food. The pizza stand was closer so they went there instead.",1,,,1,,,,,,
Drew wanted to eat the food from the truck that was the furthest distance away as they are sporty.,,1,,,1,,,,,
"Brooklyn probably took a different route to learn the area and did not notice the hot dog stand, but when they went around they saw the pizza truck.",,,1,1,,,,,,
"They walked around the block in a clockwise direction, happy to get the exercise because they decided to have something other than a hot dog today.",,,,,,1,,,,
They decided to walk anti-clockwise around the block to see what they came across and were happy to discover the pizza stand.,,,,1,,,,,,
"They really wanted a hot dog and held out until they could find a hot dog stand, even if it meant walking quite some distance.",,,,,1,,,,,
They knew exactly where to go for a hot dog and chose the shortest route to get there.,,,1,,,,,,,
They set off walking and discovered a hot dog stand en-route and enjoyed a hot dog before walking some more to explore the new area.,,,,1,,,1,,,
"They set off walking to explore the area, discovering a hot dog on the way, but didn't feel like eating a hot dog today and continued on until they discovered the pizza stand.",,,,,1,,1,,,
They knew exactly where to go quickly to get something to eat.,,,1,,,,,,,
They really wanted a hot dog and wanted to make sure they got some good exercise before getting their reward.,,,,,1,,,,,
Drew first wanted a pizza but when arriving there he changed his mind so he carried on to the hotdogs food truck.,,,,,1,,,,,
Parker was hungry so he went straight to the hot dogs food truck which luckily was the closest to him as he is lazy.,,1,,1,,,,,,
Brooklyn wanted to explore the area as he doesn't know it well and when discovering the hot dogs food truck he decided to stop there to eat.,,,,,1,,1,,,
Harper didn't notice the hot dogs food truck or maybe he just wasn't hungry and decided to explore the area but got lost as eventually it took him a long path to get to the hot dogs food truck.,,,,1,,,1,,,
Taylor wanted to exercise and decided to have a pizza for a change.,,,,,1,,,,,
Charlie wanted a pizza.,,,,,1,,,,,
Jesse thought there are no hot dogs in the area as he doesn't know it well so decided to have a pizza when he found a food truck.,,,1,,,,,,,
Adrian badly wanted a pizza so didn't stop at the hot dogs food truck even if it took him longer to get there.,,,,,1,,,,,
To increase thier step count,,,,,,1,,,,
Didnt realise there was a shorter route.,,,1,,,,,,,
Harper took a really short route - cause he was really hungry and wanted to get there with minimal effort,,,,,1,,,,,
Got lost,,,,,,,1,,,
Not being familiar with the area - they didnt know there any easier and short route,,,1,,,,,,,
They were not aware that it was not far away,,,1,,,,,,,
Drew was not in the mood for taking a longer path.,,,,,1,,,,,
Adrian was lucky to source a short route,,,,,,,,,,
THEY ARE STANDING NEXT TO THE HOT DOG STAND,,,,1,,,,,,
drew likes the pizza,1,,,,,,,,,
jesse is stnding next to the hot dog stand,,,,1,,,,,,
harper is stnding at a wrong stand,,,,1,,,,,,
Parker is lazy he ended up at the wrong stand of pizza,,1,,,,,,,,
Charlie is at a hot dog stand,,,,1,,,,,,
BROOKLN IS AT A PIZZA STAND,,,,1,,,,,,
Adrian is standing at a hot dog stand,,,,1,,,,,,
He likes pizza,1,,,,,,,,,
He was lost,,,,,,,1,,,
He likes hot dogs,1,,,,,,,,,
"He likes pizza, he didn't have time for a long walk",1,,,,,,,,,
He doesn't like pizza,1,,,,,,,,,
Jesse wanted pizza for a change and wanted to get some excersize,,,,,1,,,,,
"He likes hot dogs, the stall was near by",1,,,1,,,,,,
Brooklyn wanted to get some excersize,,,,,,1,,,,
Brooklyn doesn't realise there might be another food truck so goes to the first one spotted.,,,1,,,,,,,
Harper prefers hot dogs to the food on the other truck.,1,,,,,,,,,
Drew wants a long walk first.,,,,,,1,,,,
Jesse fancied a change from their usual favourite food.,1,,,,1,,,,,
This was the closest food that Charlie could see.,,,,1,,,,,,
Taylor wanted to walk further than the hot dog stand.,,,,,1,,,,,
Adrian wanted to get to know the area.,,,1,,,,,,,
Parker really wanted a hot dog so kept walking till he found one.,,,,,1,,,,,
Parker wasn't paying attention and didn't see tje hot dog stand at the corner of the road.,,,,1,,,,,,
Taylor saw the hot dog stand which is his favourite but he went the long way round for some extra exercise because he is sporty.,1,1,,1,,,,,,
Charlie decided to find the other food truck because he doesn't like pizza.,1,,,,,,,,,
Jesse went straight to the hot dog van because he was hungry.,,,,,1,,,,,
Drew went the long way round to get to the pizza truck for extra exercise.,,,,,,1,,,,
Harper went towards the hot dog truck but must have then fancied something different and walked further to find the pizza truck.,,,,,1,,,,,
Adrian went to the pizza truck but didn't see anything he liked so kept going to find another food truck until he came across the hot dog truck.,1,,,1,,,,,,
Brooklyn was hungry so went straight to the pizza truck to get some food.,,,,,1,,,,,
He can see the pizza cart and likes pizza,1,,,1,,,,,,
Charlie is lazy but he prefers pizza and so takes the longer route to get it,1,1,,,,,,,,
"Taylor is more interested in the run, so when he gets to his favourite food he decides to keep running past it and rests instead at the pizza truck",1,,,,,,,,,
Drew knows he could take a right turn and get to the hot dogs quickly but prefers to walk a bit further to get some exercise,1,,1,,,,,,,
Brooklyn is out for a wander in a new area and comes across a hot dog vendor. They decide to treat themselves and is happy to have discovered a local landmark,,,1,,,,,,,
Adrian doesn't like hotdogs but has heard that there may be a pizza truck so kkeps walking because he does like pizza,1,,,,,,,,,
Taylor didn't look to the right and so walked the long route before coming across the hot dog truck,,,,,,,,,,
Parker knows the fastest way to hotdog heaven,,,1,,,,,,,
"As they cant see the stand, I assume they just set off in the opposite direction of the pizza stand, which they can see.",,,,1,,,,,,
"He's lazy so goes for the easy option, ie a pizza",,1,,,,,,,,
"They go for a walk and have no preference for food, so walk past the stand that is only a short distance away.",1,,,,,,,,,
Maybe the hot dogs were not appealing when she got to see them.,,,,1,,,,,,
Maybe he had already exercised and was hungry.,,,,,,1,,,,
"Difficult to say, maybe he had a a guilt complex and felt he needed to exercise a bit.",,,,,,1,,,,
Maybe the hot dog stand had run out of food and they had to go for the next best option,,,,,,,,1,,
He goes to the food stand that he can see.,,,,1,,,,,,
maybe he knows hes lazy and wants to be healthier so he sees the hotdog stand but wants to get some steps in and goees the long way,,1,1,1,,,,,,
he knows where the food stalls are and wants hotdogs so he goes the most efficient way,,,1,,,,,,,
he went to hotdog place but wasnt what he expected so he went back to where he saw a pizza stand or kept walking til he found another food option,,,,1,,,,,,
he knows that the pizza place is around the corner but fancied a walk?,,,1,,,,,,,
fancied pizza instead of hot dogs or fancied a walk,,,,,1,,,,,
maybe he walked and got to pizza place and was unsure whether he would find another food place nearby,,,,1,,,,,,
they possibly saw pizza stand and knew they didnt want it and so went opposite way and saw a hotdog stand,,,,1,,,,,,
they saw a food place closer by andwere too lazy to find another,,1,,1,,,,,,
Jesse took this route because he wanted to get some exercise prior to eating the hot dog (even though he could have arrived at the hot dog stand much earlier).,,,,,,1,,,,
Charlie wanted to have a leisurely stroll to the hot dog stand and could not be bothered to seek out alterative routes,,,,1,,,,,,
Taylor took the path he took because he wanted some exercise to get to the stand in a quick timeframe.,,,,,,1,,,,
"Brooklyn took a long while to get his food and worked out that this path would take him there, whilst being able to benefit from exercise.",,,,,,1,,,,
"Parker took this path because he couldn't be bothered to look for alternatives, and just chose an area he is familiar with",,,1,,,,,,,
"Adrian took a straightforward and quick path to get to where he wanted to get to, which he did not have to think about much.",,,,,,1,,,,
"As drew knows the area well, this path (that he knows well) provided him with some exercise to get to the hotdogs",,,1,,,,,,,
"Harper took this path to the hot dogs because it was no effort to research the route, which was straightfoward.",,,,,,,,,,
"On their way to the destination, they chose to go past the food truck for their favourites.",1,,,,,,,,,
He went straight to his destination.,,,,,,,,,,
They waited for the food truck to get closer.,,,,1,,,,,,
They didn't know where the food truck was.,,,1,,,,,,,
They went straight to the venue and then decided to go to the food truck.,,,,,,,,,,
He opted for the food truck and didn't go to the sport venue.,,,,,,,,,,
He knew where the food truck was and went there first.,,,1,,,,,,,
He went for food first and then procastinated en route to the venue.,,,,,,,,,,
He could see only the the hot dog truck from his position,,,,1,,,,,,
He has changed his mind for a pizza,,,,,1,,,,,
As he does not know the are he did not bother to walk more and the pizza dod not tempt him because he really wanted to eat hot dog,,,1,,1,,,,,
He wanted to eat pizza and he did not bother to walk much,,,,,1,,,,,
There is no expalanation whey he moved like this when he knows the area and loves hot dog,1,,1,,,,,,,
He wanted hot dog,,,,,1,,,,,
He loved to hot dog enough to walk a bit more to get it,1,,,,,,,,,
He saw the pizza is close and he devided to go for it as he did not want to walk further,,,,1,,,,,,
He knows where is stand is and it's not very far,,,1,,,,,,,
he doesn't know the area well so goes to the one he can see,,,1,1,,,,,,
"He's chosen his favourite food, knows where it is and it's nearby",1,,1,1,,,,,,
He wants to exercise before eating,,,,,,1,,,,
"He walked past the hotdog truck and didn't like the look of it, so kept going until he saw an alternative",1,,,1,,,,,,
He kept walking in the direction he was already facing,,,,1,,,,1,,
He thought about trying pizza for a change but didn't like the look of it so kept going for hotdogs,1,,,,1,,,,,
He wanted to exercise before eating and knew where the hotdog stall was,,,,,,1,,,,
He knows the area well and likes hot dogs,1,,1,,,,,,,
they do not know the area well so might have gotten lost,,,1,,,,,,,
He likes pizza more than hot dogs,1,,,,,,,,,
he is lazy so might have wanted to exercise more and he likes hot dogs,1,1,,,,,,,,
he likes hot dogs but does not mean he wanted to eat hot dogs at that moment so went to pizza instead,1,,,,1,,,,,
he didnt feel like eating pizza and saw the hot dog stand,1,,,1,,,,,,
charlie just wanted pizza,,,,,1,,,,,
brookyln went for a run,,,,,,1,,,,
They went to the furthest one because they are sporty and wanted some excercise,,1,,,,,,,,
they went the long way to get some excercise as they are lazy and usually don't get any,,1,,,,,,,,
they don't know the area well so ended up going the long way to get their favourite food,1,,1,,,,,,,
Drew wanted pizza so went the shortest route to that stall,,,,,1,,,,,
they went the shortest route to their favourite food,1,,,,,,,,,
they went to the closest food stall because they are lazy,,1,,1,,,,,,
they may have got to the hot dog stall and decided they wanted pizza instea,,,,,1,,,,,
they went to the closest one because they are lazy,,1,,1,,,,,,
"Charlie preferred hotdogs, so decided to walk a little bit further",1,,,,,,,,,
"Drew is sporty so wanted to get some extra steps in, rather than stopping at the nearest food stall",,1,,1,,,,,,
"Adrian doesn't like pizza, so decided to see if there were any other food stalls on his route",1,,,1,,,,,,
Jesse decided to get hot dogs because they are their favourite food.,1,,,,,,,,,
Parker fancied a change from their usual food choice and figured it was around the same distance to the pizza stand,,,,,1,,,,,
Taylor took the longest route to the hot dog stand because they wanted to get some extra steps in,,,,,,1,,,,
Harper went to the hot dog stand but wasn't impressed with their selection so decided to walk on to find something else,,,,,,,,1,,
Brooklyn was hungry and didn't know the area well so went to the first available food stand that they could see.,,,1,1,,,,,,
They were not fully aware of where the stands were located,,,1,,,,,,,
They knew the quickest way to get where they needed to go,,,1,,,,,,,
The Hot Dog stand was closed,,,,1,,,,1,,
They wanted the shortest route because they are lazy,,1,,,,,,,,
They wanted to do more exercise because they are sporty.,,1,,,,,,,,
They wanted a longer route for exercise because they are sporty,,1,,,,,,,,
They are lazy so wanted the shortest route,,1,,,,,,,,
They wanted the easiest and closest choice,,,,1,,,,,,
Charlie is lazy and so is likely to take the shorter route to a food establishment.,1,1,,,,,,,,
Brooklyn is sporty and so likes to exercise and explore an area.,,1,,,,,1,,,
"Adrian took the longer route to get to the hot dog stand, because he doesn't know the area well.",,,1,,,,,,,
"Drew is sporty and so likes to take the longer route to the food stand, as he can do more exercise that way.",1,1,,,,,,,,
"Jesse went straight for the hot dog stand, because hot dogs are her favourite food.",1,,,,,,,,,
Taylor took the longer route to the hot dog stand because they are sporty and like to exercise.,1,1,,,,,,,,
"Parker is lazy and so went to the pizza stand, in spite of the fact that pizza is not their favourite food, because it required less energy to get there.",1,1,,,,,,,,
Harper missed the hot dog stand and so took the longer route to get to an alternative food stand.,,,,,,,,,,
he is too lazy to walk to the hot dog stand,,1,,,,,,,,
they do know know the area well and are not aware there is a hot dog stand on another corner,,,1,,,,,,,
they did not want to have hot dogs,,,,,1,,,,,
they really wanted to have hot dogs,,,,,1,,,,,
they really wanted to have pizza,,,,,1,,,,,
they felt like exercising and ended up buying hot dogs,1,,,,,,,,,
he was feeling lazy,,1,,,,,,,,
they really wanted hot dogs,,,,,1,,,,,
It's their favourite food,1,,,,,,,,,
It's the only one they could see,,,,1,,,,,,
They couldn't see the hot dog stand and went the wrong way around,,,,1,,,,,,
They wanted something different for once,,,,,1,,,,,
They were exploring and simply found the Pizza first,,,,,,,1,,,
They wanted some exercise,,,,,,1,,,,
They were looking for other stands before ending at the pizza one,,,,,,,,,,
Closest stand,,,,1,,,,,,
The pizza stand is visible and close,,,,1,,,,,,
They prefer pizza as the hot dog stand is slightly closer,1,,,1,,,,,,
They really wanted hot dogs and took the long way as they didn't know the area,,,1,,1,,,,,
He really wanted pizza,,,,,1,,,,,
He initially thought about pizza but changed his mind,,,,,1,,,,,
The shortest route was to his favourite food,1,,,,,,,,,
He wanted hot dogs and is fit enough to take the longer path,,,,,1,,,,,
Being sporty they wanted a longer route,,1,,,,,,,,
they love hot dogs,1,,,,,,,,,
they took the short route because they don't have a lot of time,,,,,,,,1,,
they love pizza,1,,,,,,,,,
it's the quickest,,,,,,,,,,
it's the quickest,,,,,,,,,,
they love pizza,1,,,,,,,,,
they wanted to browse around,,,,,,,,1,,
they wanted to walk around,,,,,,1,,,,
They wanted to explore the area.,,,,,,,1,,,
Drew was hungry.,,,,,1,,,,,
Adrian went to the closest food stall and liked Pizza.,1,,,1,,,,,,
Parker missed seeing the hot dog stand on the way.,,,,1,,,,,,
Harper likes hot dogs and didn't want to walk far.,1,,,,,,,,,
Brooklyn wanted to walk around the area.,,,1,,,,,,,
Charlie didn't want to eat pizza today.,,,,,1,,,,,
Taylor was hungry.,,,,,1,,,,,
They went the long way despite being lazy because they had to pick up a pizza for someone else.,,1,,,,,,,,
He went to the hotdog stand and then did some extra walking due to being sporty.,,1,,,,,,,,
He took to long route as he did not know where it was.,,,1,,,,,,,
He was in a hurry so he took the shortest route.,,,,,,,,1,,
He was too lazy to walk to the hotdog stand so settled for a Pizza because it was closer.,,1,,1,,,,,,
He went to the pizza stand as it was slightly further away and he wanted the exercise,,,,,,1,,,,
He wanted both a hotdog and a pizza so chose the shortest route to get both,,,,,1,,,,,
He just went to the nearest food stand because he is lazy,,1,,1,,,,,,
they are lazy,,1,,,,,,,,
they do not know the area yet,,,1,,,,,,,
they are sporty,,1,,,,,,,,
they do not know the area,,,1,,,,,,,
they know the area,,,1,,,,,,,
does not know the area,,,1,,,,,,,
he knows the area well,,,1,,,,,,,
they do notknow the area well,,,1,,,,,,,
They have gone for their favourite food,1,,,,,,,,,
They have gone for there preferred food option,1,,,,,,,,,
They have gone for their preferred food option,1,,,,,,,,,
They have gone for the option they thought was closer,,,,1,,,,,,
They have gone for what they see as the closet option,,,,1,,,,,,
They have gone for the closet option,,,,1,,,,,,
No real explanation other than they didn't see the pizza place first,,,,1,,,,,,
They didn't want hot dogs on this occasion,,,,,1,,,,,
They want pizza as they had a hot dog yesterday,,,,,1,,,,,
They called round a friend who lived in the far right house who wanted pizza.,,,,,1,,,,,
They smelt the pizza and it tasted better and was closest in distance,,,,1,,,,,,
Drew wanted to burn some calories so he ran to the pizza cart to 'earn' his meal.,,,,,1,,,,,
He could see the hot dog cart from his original start point,,,,1,,,,,,
He didn't look round properly,,,,,,,,1,,
He wanted to 'earn' his snack so took the long way round,,,,,,1,,,,
He fancied hot dog that day,,,,,1,,,,,
they wanted to look around the area before getting a hot dog,,,1,,,,,,,
they saw the pizza truck and went to get some because they were hungry,,,,1,,,,,,
"even though they favorite fod is hotdog, they were not craving hot dogs and went for a walk expecting to find something else",1,,,,,,,,,
charlie was probably not craving pizza and knew the hot dogs were not far,,,1,,1,,,,,
he wanted to burn some calories before getting pizza so took the long path,,,,,,1,,,,
jesse loves hot dogs and saw the truck and went to get some,,,,1,,,,,,
"even though their favorite food is hot dog, at the time parker was craving pizza and knew they were not far",1,,,,,,,,,
adrian just was not craving pizza and went to look around the block till found something else,,,,,1,,,,,
Jesse went straight down and then went south of the hotdog stand and then forward towards the pizza stand.,,,,,,,,,,
"Shortest route to the Hotdog stand,",,,,,,,,,,
The longer route towards the hotdog stand,,,,,,,,,,
Easiest route towards the pizza stand,,,,1,,,,,,
Straight and direct towards to the hot dog stand,,,,,,,,,,
A wrong turn towards the pizza stand,,,,,,,,,,
The longest route towards the pizza stabd,,,,,,,,,,
They have taken the longest route,,,,,,,,,,
